Product_id,customer_id,shipping_id,inventory_id,Quantity,UnitPrice,TotalPrice,PaymentType,Profit,Discount,Tax,TaxAmount,FinalPrice,PaymentStatus,Date
34,34,34,34,8,250.88,2007.04,PayPal,364.96,0.09,0.07,140.49,1966.8964,Pending,2021-02-10
35,35,35,35,5,250.88,1254.4,Bank Transfer,228.1000000000001,0.2,0.07,87.81,1091.33,Failed,2021-02-10
36,36,36,36,7,250.88,1756.16,Credit Card,319.3399999999999,0.01,0.07,122.93,1861.5284,Pending,2021-02-12
37,37,37,37,7,250.88,1756.16,Credit Card,319.3399999999999,0.1,0.07,122.93,1703.474,Processed,2021-02-16
38,38,38,38,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.11,0.07,158.05,2167.5988,Failed,2021-02-16
39,39,39,39,3,250.88,752.64,PayPal,136.86,0.15,0.07,52.68,692.424,Processed,2021-02-16
40,40,40,40,4,250.88,1003.52,PayPal,182.48,0.11,0.07,70.25,963.3828,Processed,2021-02-17
41,41,41,41,4,250.88,1003.52,Bank Transfer,182.48,0.14,0.07,70.25,933.2772,Processed,2021-02-20
42,42,42,42,5,250.88,1254.4,PayPal,228.1000000000001,0.16,0.07,87.81,1141.506,unknown,2021-02-20
43,43,43,43,6,250.88,1505.28,Bank Transfer,273.72,0.04,0.07,105.37,1550.4388,Pending,2021-02-22
44,44,44,44,3,250.88,752.64,PayPal,136.86,0.05,0.07,52.68,767.688,Processed,2021-02-23
45,45,45,45,4,250.88,1003.52,PayPal,182.48,0.25,0.07,70.25,822.89,Failed,2021-02-25
46,46,46,46,3,250.88,752.64,Bank Transfer,136.86,0.14,0.07,52.68,699.9504,Pending,2021-02-27
47,47,47,47,2,250.88,501.76,Bank Transfer,91.24,0.11,0.07,35.12,481.6864,Pending,2021-03-02
48,48,48,48,9,250.88,2257.92,PayPal,410.58000000000015,0.13,0.07,158.05,2122.4404000000004,Processed,2021-03-03
49,49,49,49,1,250.88,250.88,Bank Transfer,45.620000000000005,0.05,0.07,17.56,255.896,Pending,2021-03-04
50,50,50,50,2,250.88,501.76,PayPal,91.24,0.07,0.07,35.12,501.7568,Failed,2021-03-06
51,51,51,51,8,250.88,2007.04,Debit Card,364.96,0.15,0.07,140.49,1846.474,unknown,2021-03-08
52,52,52,52,7,250.88,1756.16,Credit Card,319.3399999999999,0.11,0.07,122.93,1685.9124,unknown,2021-03-10
53,53,53,53,1,250.88,250.88,Credit Card,45.620000000000005,0.14,0.07,17.56,233.3168,Failed,2021-03-16
54,54,54,54,5,250.88,1254.4,PayPal,228.1000000000001,0.04,0.07,87.81,1292.034,unknown,2021-03-16
55,55,55,55,6,250.88,1505.28,Credit Card,273.72,0.05,0.07,105.37,1535.3860000000002,Pending,2021-03-17
56,56,56,56,5,250.88,1254.4,PayPal,228.1000000000001,0.12,0.07,87.81,1191.682,Failed,2021-03-19
57,57,57,57,4,250.88,1003.52,Bank Transfer,182.48,0.11,0.07,70.25,963.3828,Pending,2021-03-21
58,58,58,58,1,250.88,250.88,Debit Card,45.620000000000005,0.26,0.07,17.56,203.2112,Failed,2021-03-22
59,59,59,59,7,250.88,1756.16,Credit Card,319.3399999999999,0.01,0.07,122.93,1861.5284,Processed,2021-03-24
60,60,60,60,9,250.88,2257.92,Credit Card,410.58000000000015,0.3,0.07,158.05,1738.5940000000005,Pending,2021-03-27
61,61,61,61,6,250.88,1505.28,Bank Transfer,273.72,0.29,0.07,105.37,1174.1188000000002,Processed,2021-03-29
62,62,62,62,3,250.88,752.64,Debit Card,136.86,0.16,0.07,52.68,684.8975999999999,Pending,2021-03-31
63,63,63,63,4,250.88,1003.52,Debit Card,182.48,0.22,0.07,70.25,852.9956,Failed,2021-03-31
64,64,64,64,5,250.88,1254.4,Debit Card,228.1000000000001,0.28,0.07,87.81,990.978,Processed,2021-03-31
65,65,65,65,1,250.88,250.88,Bank Transfer,45.620000000000005,0.08,0.07,17.56,248.3696,Pending,2021-04-01
66,66,66,66,5,250.88,1254.4,Credit Card,228.1000000000001,0.09,0.07,87.81,1229.314,Failed,2021-04-02
67,67,67,67,1,250.88,250.88,Credit Card,45.620000000000005,0.03,0.07,17.56,260.9136,unknown,2021-04-03
68,68,68,68,9,250.88,2257.92,Debit Card,410.58000000000015,0.17,0.07,158.05,2032.1236000000004,Processed,2021-04-04
69,69,69,69,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.05,0.07,122.93,1791.282,Pending,2021-04-05
70,70,70,70,3,250.88,752.64,Bank Transfer,136.86,0.28,0.07,52.68,594.5808,Processed,2021-04-05
71,71,71,71,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.13,0.07,158.05,2122.4404000000004,Pending,2021-04-06
72,72,72,72,2,250.88,501.76,Debit Card,91.24,0.28,0.07,35.12,396.3872,unknown,2021-04-06
73,73,73,73,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.06,0.07,122.93,1773.7204,Failed,2021-04-08
74,74,74,74,9,250.88,2257.92,Debit Card,410.58000000000015,0.21,0.07,158.05,1941.8068000000003,Failed,2021-04-09
75,75,75,75,6,250.88,1505.28,Debit Card,273.72,0.19,0.07,105.37,1324.6468,Pending,2021-04-09
76,76,76,76,5,250.88,1254.4,Debit Card,228.1000000000001,0.12,0.07,87.81,1191.682,Pending,2021-04-09
77,77,77,77,7,250.88,1756.16,PayPal,319.3399999999999,0.27,0.07,122.93,1404.9268,Failed,2021-04-13
78,78,78,78,6,250.88,1505.28,Debit Card,273.72,0.13,0.07,105.37,1414.9636,Pending,2021-04-14
79,79,79,79,5,250.88,1254.4,Bank Transfer,228.1000000000001,0.06,0.07,87.81,1266.946,unknown,2021-04-15
80,80,80,80,2,250.88,501.76,PayPal,91.24,0.29,0.07,35.12,391.3696,Failed,2021-04-17
81,81,81,81,8,250.88,2007.04,Credit Card,364.96,0.13,0.07,140.49,1886.6148,Failed,2021-04-19
82,82,82,82,7,250.88,1756.16,Credit Card,319.3399999999999,0.06,0.07,122.93,1773.7204,Pending,2021-04-19
83,83,83,83,6,250.88,1505.28,Bank Transfer,273.72,0.11,0.07,105.37,1445.0692,Pending,2021-04-21
84,84,84,84,5,250.88,1254.4,Bank Transfer,228.1000000000001,0.18,0.07,87.81,1116.418,Processed,2021-04-21
85,85,85,85,5,250.88,1254.4,Bank Transfer,228.1000000000001,0.15,0.07,87.81,1154.05,Pending,2021-04-21
86,86,86,86,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.19,0.07,158.05,1986.9652,Processed,2021-04-23
87,87,87,87,1,250.88,250.88,PayPal,45.620000000000005,0.2,0.07,17.56,218.264,Pending,2021-04-23
88,88,88,88,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.04,0.07,158.05,2325.6532,unknown,2021-04-25
89,89,89,89,6,250.88,1505.28,Debit Card,273.72,0.09,0.07,105.37,1475.1748,Processed,2021-04-27
90,90,90,90,4,250.88,1003.52,Credit Card,182.48,0.22,0.07,70.25,852.9956,Failed,2021-04-28
91,91,91,91,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.2,0.07,122.93,1527.858,Pending,2021-04-28
92,92,92,92,9,250.88,2257.92,Debit Card,410.58000000000015,0.03,0.07,158.05,2348.2324000000003,unknown,2021-04-30
93,93,93,93,5,250.88,1254.4,Bank Transfer,228.1000000000001,0.09,0.07,87.81,1229.314,Failed,2021-05-02
94,94,94,94,5,250.88,1254.4,Debit Card,228.1000000000001,0.28,0.07,87.81,990.978,Pending,2021-05-03
95,95,95,95,8,250.88,2007.04,PayPal,364.96,0.26,0.07,140.49,1625.6995999999997,Failed,2021-05-06
96,96,96,96,7,250.88,1756.16,Credit Card,319.3399999999999,0.2,0.07,122.93,1527.858,Failed,2021-05-06
97,97,97,97,8,250.88,2007.04,Credit Card,364.96,0.02,0.07,140.49,2107.3892,Failed,2021-05-08
98,98,98,98,2,250.88,501.76,PayPal,91.24,0.18,0.07,35.12,446.5632,Failed,2021-05-11
99,99,99,99,9,250.88,2257.92,Debit Card,410.58000000000015,0.0,0.07,158.05,2415.9700000000003,Processed,2021-05-13
100,100,100,100,3,250.88,752.64,Bank Transfer,136.86,0.2,0.07,52.68,654.7919999999999,Pending,2021-05-14
101,101,101,101,6,250.88,1505.28,Debit Card,273.72,0.22,0.07,105.37,1279.4884000000002,Pending,2021-05-15
102,102,102,102,6,250.88,1505.28,Credit Card,273.72,0.15,0.07,105.37,1384.8580000000002,Failed,2021-05-18
103,103,103,103,2,250.88,501.76,PayPal,91.24,0.0,0.07,35.12,536.88,Pending,2021-05-19
104,104,104,104,7,250.88,1756.16,PayPal,319.3399999999999,0.2,0.07,122.93,1527.858,Processed,2021-05-20
105,105,105,105,9,250.88,2257.92,Debit Card,410.58000000000015,0.25,0.07,158.05,1851.49,Failed,2021-05-24
106,106,106,106,1,250.88,250.88,Debit Card,45.620000000000005,0.18,0.07,17.56,223.2816,Failed,2021-05-24
107,107,107,107,8,250.88,2007.04,PayPal,364.96,0.21,0.07,140.49,1726.0515999999998,Failed,2021-05-24
108,108,108,108,2,250.88,501.76,Credit Card,91.24,0.03,0.07,35.12,521.8272,unknown,2021-05-25
109,109,109,109,1,250.88,250.88,Bank Transfer,45.620000000000005,0.21,0.07,17.56,215.7552,Pending,2021-05-26
110,110,110,110,8,250.88,2007.04,Bank Transfer,364.96,0.18,0.07,140.49,1786.2627999999995,Processed,2021-05-27
111,111,111,111,2,250.88,501.76,Debit Card,91.24,0.1,0.07,35.12,486.704,Pending,2021-05-30
112,112,112,112,6,250.88,1505.28,PayPal,273.72,0.21,0.07,105.37,1294.5412,Processed,2021-05-31
113,113,113,113,6,250.88,1505.28,PayPal,273.72,0.19,0.07,105.37,1324.6468,unknown,2021-06-01
114,114,114,114,5,250.88,1254.4,PayPal,228.1000000000001,0.18,0.07,87.81,1116.418,Failed,2021-06-02
115,115,115,115,8,250.88,2007.04,Credit Card,364.96,0.05,0.07,140.49,2047.178,Failed,2021-06-03
116,116,116,116,3,250.88,752.64,Debit Card,136.86,0.09,0.07,52.68,737.5823999999999,Failed,2021-06-03
117,117,117,117,4,250.88,1003.52,Debit Card,182.48,0.3,0.07,70.25,772.7139999999999,Processed,2021-06-04
118,118,118,118,7,250.88,1756.16,Debit Card,319.3399999999999,0.13,0.07,122.93,1650.7892,Processed,2021-06-07
119,119,119,119,7,250.88,1756.16,Credit Card,319.3399999999999,0.02,0.07,122.93,1843.9668,Pending,2021-06-09
120,120,120,120,8,250.88,2007.04,Debit Card,364.96,0.27,0.07,140.49,1605.6292,unknown,2021-06-10
121,121,121,121,2,250.88,501.76,Bank Transfer,91.24,0.05,0.07,35.12,511.792,Pending,2021-06-11
122,122,122,122,2,250.88,501.76,Debit Card,91.24,0.12,0.07,35.12,476.6688,Failed,2021-06-15
123,123,123,123,4,250.88,1003.52,Debit Card,182.48,0.08,0.07,70.25,993.4884,Failed,2021-06-16
124,124,124,124,9,250.88,2257.92,Debit Card,410.58000000000015,0.29,0.07,158.05,1761.1732000000002,Processed,2021-06-16
125,125,125,125,9,250.88,2257.92,Credit Card,410.58000000000015,0.11,0.07,158.05,2167.5988,Pending,2021-06-19
126,126,126,126,4,250.88,1003.52,Bank Transfer,182.48,0.21,0.07,70.25,863.0308,Pending,2021-06-21
127,127,127,127,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.18,0.07,158.05,2009.5444,Failed,2021-06-22
128,128,128,128,3,250.88,752.64,PayPal,136.86,0.01,0.07,52.68,797.7936,Processed,2021-06-22
129,129,129,129,5,250.88,1254.4,PayPal,228.1000000000001,0.12,0.07,87.81,1191.682,Pending,2021-06-22
130,130,130,130,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.12,0.07,158.05,2145.0196,Pending,2021-06-26
131,131,131,131,6,250.88,1505.28,Debit Card,273.72,0.3,0.07,105.37,1159.066,Pending,2021-06-26
132,132,132,132,3,250.88,752.64,Debit Card,136.86,0.24,0.07,52.68,624.6863999999999,Failed,2021-06-30
133,133,133,133,9,250.88,2257.92,Debit Card,410.58000000000015,0.26,0.07,158.05,1828.9108,Processed,2021-07-03
134,134,134,134,6,250.88,1505.28,Credit Card,273.72,0.09,0.07,105.37,1475.1748,Pending,2021-07-06
135,135,135,135,4,250.88,1003.52,Debit Card,182.48,0.1,0.07,70.25,973.418,Processed,2021-07-07
136,136,136,136,4,250.88,1003.52,Credit Card,182.48,0.15,0.07,70.25,923.242,unknown,2021-07-09
137,137,137,137,8,250.88,2007.04,Bank Transfer,364.96,0.19,0.07,140.49,1766.1923999999997,Failed,2021-07-09
138,138,138,138,7,250.88,1756.16,Debit Card,319.3399999999999,0.22,0.07,122.93,1492.7348,Processed,2021-07-09
139,139,139,139,1,250.88,250.88,Debit Card,45.620000000000005,0.25,0.07,17.56,205.72,Pending,2021-07-10
140,140,140,140,6,250.88,1505.28,PayPal,273.72,0.26,0.07,105.37,1219.2772,unknown,2021-07-11
141,141,141,141,8,250.88,2007.04,Bank Transfer,364.96,0.01,0.07,140.49,2127.4596,Failed,2021-07-13
142,142,142,142,3,250.88,752.64,Debit Card,136.86,0.24,0.07,52.68,624.6863999999999,Failed,2021-07-17
143,143,143,143,9,250.88,2257.92,Credit Card,410.58000000000015,0.18,0.07,158.05,2009.5444,Pending,2021-07-20
144,144,144,144,2,250.88,501.76,Bank Transfer,91.24,0.16,0.07,35.12,456.5984,Failed,2021-07-21
145,145,145,145,6,250.88,1505.28,PayPal,273.72,0.19,0.07,105.37,1324.6468,Failed,2021-07-22
146,146,146,146,1,250.88,250.88,Bank Transfer,45.620000000000005,0.26,0.07,17.56,203.2112,Failed,2021-07-22
147,147,147,147,2,250.88,501.76,Credit Card,91.24,0.16,0.07,35.12,456.5984,unknown,2021-07-24
148,148,148,148,5,250.88,1254.4,PayPal,228.1000000000001,0.05,0.07,87.81,1279.49,Failed,2021-07-25
149,149,149,149,1,250.88,250.88,Credit Card,45.620000000000005,0.13,0.07,17.56,235.8256,Pending,2021-07-26
150,150,150,150,8,250.88,2007.04,Bank Transfer,364.96,0.28,0.07,140.49,1585.5587999999998,Processed,2021-07-27
151,151,151,151,1,250.88,250.88,PayPal,45.620000000000005,0.24,0.07,17.56,208.2288,Pending,2021-08-02
152,152,152,152,9,250.88,2257.92,Credit Card,410.58000000000015,0.06,0.07,158.05,2280.4948000000004,unknown,2021-08-05
153,153,153,153,3,250.88,752.64,Bank Transfer,136.86,0.21,0.07,52.68,647.2656,Pending,2021-08-05
154,154,154,154,2,250.88,501.76,Credit Card,91.24,0.08,0.07,35.12,496.7392,Processed,2021-08-05
155,155,155,155,1,250.88,250.88,Debit Card,45.620000000000005,0.1,0.07,17.56,243.352,Processed,2021-08-06
156,156,156,156,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.14,0.07,158.05,2099.8612000000003,Failed,2021-08-08
157,157,157,157,4,250.88,1003.52,PayPal,182.48,0.13,0.07,70.25,943.3124,unknown,2021-08-12
158,158,158,158,1,250.88,250.88,PayPal,45.620000000000005,0.01,0.07,17.56,265.9312,Pending,2021-08-13
159,159,159,159,1,250.88,250.88,Debit Card,45.620000000000005,0.23,0.07,17.56,210.7376,Failed,2021-08-14
160,160,160,160,7,250.88,1756.16,Credit Card,319.3399999999999,0.25,0.07,122.93,1440.05,unknown,2021-08-16
161,161,161,161,2,250.88,501.76,Credit Card,91.24,0.16,0.07,35.12,456.5984,unknown,2021-08-17
162,162,162,162,7,250.88,1756.16,PayPal,319.3399999999999,0.05,0.07,122.93,1791.282,Failed,2021-08-18
163,163,163,163,7,250.88,1756.16,Credit Card,319.3399999999999,0.07,0.07,122.93,1756.1588,Failed,2021-08-19
164,164,164,164,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.04,0.07,158.05,2325.6532,Failed,2021-08-19
165,165,165,165,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.05,0.07,122.93,1791.282,unknown,2021-08-21
166,166,166,166,1,250.88,250.88,PayPal,45.620000000000005,0.26,0.07,17.56,203.2112,Failed,2021-08-21
167,167,167,167,8,250.88,2007.04,Bank Transfer,364.96,0.14,0.07,140.49,1866.5444,Pending,2021-08-23
168,168,168,168,8,250.88,2007.04,PayPal,364.96,0.03,0.07,140.49,2087.3188,Processed,2021-08-24
169,169,169,169,4,250.88,1003.52,Credit Card,182.48,0.08,0.07,70.25,993.4884,Failed,2021-08-27
170,170,170,170,8,250.88,2007.04,Credit Card,364.96,0.28,0.07,140.49,1585.5587999999998,Processed,2021-08-30
171,171,171,171,4,250.88,1003.52,Credit Card,182.48,0.15,0.07,70.25,923.242,Failed,2021-08-31
172,172,172,172,8,250.88,2007.04,Debit Card,364.96,0.15,0.07,140.49,1846.474,Failed,2021-09-03
173,173,173,173,5,250.88,1254.4,PayPal,228.1000000000001,0.16,0.07,87.81,1141.506,Failed,2021-09-04
174,174,174,174,4,250.88,1003.52,Bank Transfer,182.48,0.03,0.07,70.25,1043.6644,Pending,2021-09-04
175,175,175,175,6,250.88,1505.28,Credit Card,273.72,0.29,0.07,105.37,1174.1188000000002,unknown,2021-09-06
176,176,176,176,2,250.88,501.76,Debit Card,91.24,0.03,0.07,35.12,521.8272,Failed,2021-09-06
177,177,177,177,2,250.88,501.76,Bank Transfer,91.24,0.21,0.07,35.12,431.5104,Failed,2021-09-07
178,178,178,178,2,250.88,501.76,Bank Transfer,91.24,0.02,0.07,35.12,526.8448,Pending,2021-09-10
179,179,179,179,9,250.88,2257.92,Bank Transfer,410.58000000000015,0.13,0.07,158.05,2122.4404000000004,Failed,2021-09-10
180,180,180,180,3,250.88,752.64,Credit Card,136.86,0.27,0.07,52.68,602.1071999999999,Pending,2021-09-11
181,181,181,181,4,250.88,1003.52,Bank Transfer,182.48,0.23,0.07,70.25,842.9603999999999,Failed,2021-09-11
182,182,182,182,8,250.88,2007.04,PayPal,364.96,0.1,0.07,140.49,1946.826,Processed,2021-09-13
183,183,183,183,4,250.88,1003.52,Debit Card,182.48,0.17,0.07,70.25,903.1716,Pending,2021-09-15
184,184,184,184,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.05,0.07,122.93,1791.282,Pending,2021-09-16
185,185,185,185,5,250.88,1254.4,Bank Transfer,228.1000000000001,0.29,0.07,87.81,978.434,Failed,2021-09-18
186,186,186,186,9,250.88,2257.92,PayPal,410.58000000000015,0.21,0.07,158.05,1941.8068000000003,unknown,2021-09-20
187,187,187,187,4,250.88,1003.52,Bank Transfer,182.48,0.11,0.07,70.25,963.3828,Failed,2021-09-21
188,188,188,188,3,250.88,752.64,Credit Card,136.86,0.1,0.07,52.68,730.0559999999999,Pending,2021-09-22
189,189,189,189,2,250.88,501.76,Credit Card,91.24,0.07,0.07,35.12,501.7568,Failed,2021-09-25
190,190,190,190,1,250.88,250.88,Credit Card,45.620000000000005,0.24,0.07,17.56,208.2288,Processed,2021-09-26
191,191,191,191,6,250.88,1505.28,Bank Transfer,273.72,0.13,0.07,105.37,1414.9636,Pending,2021-09-27
192,192,192,192,2,250.88,501.76,Debit Card,91.24,0.1,0.07,35.12,486.704,Processed,2021-10-04
193,193,193,193,8,250.88,2007.04,Debit Card,364.96,0.27,0.07,140.49,1605.6292,Processed,2021-10-04
194,194,194,194,6,250.88,1505.28,Bank Transfer,273.72,0.05,0.07,105.37,1535.3860000000002,Pending,2021-10-06
195,195,195,195,5,250.88,1254.4,Debit Card,228.1000000000001,0.08,0.07,87.81,1241.858,Processed,2021-10-07
196,196,196,196,2,250.88,501.76,Debit Card,91.24,0.1,0.07,35.12,486.704,Failed,2021-10-07
197,197,197,197,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.08,0.07,122.93,1738.5972,Pending,2021-10-08
198,198,198,198,2,250.88,501.76,Credit Card,91.24,0.18,0.07,35.12,446.5632,unknown,2021-10-11
199,199,199,199,5,250.88,1254.4,Bank Transfer,228.1000000000001,0.18,0.07,87.81,1116.418,Processed,2021-10-12
200,200,200,200,2,250.88,501.76,Credit Card,91.24,0.02,0.07,35.12,526.8448,Failed,2021-10-16
201,201,201,201,2,250.88,501.76,Credit Card,91.24,0.04,0.07,35.12,516.8096,Failed,2021-10-21
202,202,202,202,7,250.88,1756.16,Debit Card,319.3399999999999,0.06,0.07,122.93,1773.7204,Failed,2021-10-23
203,203,203,203,9,250.88,2257.92,Debit Card,410.58000000000015,0.02,0.07,158.05,2370.8116000000005,Failed,2021-10-29
204,204,204,204,5,250.88,1254.4,Credit Card,228.1000000000001,0.04,0.07,87.81,1292.034,unknown,2021-10-30
205,205,205,205,7,250.88,1756.16,Credit Card,319.3399999999999,0.07,0.07,122.93,1756.1588,Processed,2021-11-01
206,206,206,206,4,250.88,1003.52,Debit Card,182.48,0.1,0.07,70.25,973.418,unknown,2021-11-10
207,207,207,207,2,250.88,501.76,PayPal,91.24,0.24,0.07,35.12,416.4576,Pending,2021-11-11
208,208,208,208,3,250.88,752.64,Credit Card,136.86,0.07,0.07,52.68,752.6351999999999,unknown,2021-11-12
209,209,209,209,2,250.88,501.76,Credit Card,91.24,0.2,0.07,35.12,436.528,unknown,2021-11-14
210,210,210,210,5,250.88,1254.4,Credit Card,228.1000000000001,0.02,0.07,87.81,1317.122,Processed,2021-11-16
211,211,211,211,6,250.88,1505.28,Debit Card,273.72,0.2,0.07,105.37,1309.594,Failed,2021-11-17
212,212,212,212,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.24,0.07,122.93,1457.6116,Processed,2021-11-22
213,213,213,213,3,250.88,752.64,Credit Card,136.86,0.18,0.07,52.68,669.8448,Pending,2021-11-27
214,214,214,214,4,250.88,1003.52,Credit Card,182.48,0.06,0.07,70.25,1013.5588,Failed,2021-12-02
215,215,215,215,8,250.88,2007.04,Credit Card,364.96,0.1,0.07,140.49,1946.826,Processed,2021-12-03
216,216,216,216,4,250.88,1003.52,Bank Transfer,182.48,0.24,0.07,70.25,832.9252,Pending,2021-12-04
217,217,217,217,7,250.88,1756.16,Bank Transfer,319.3399999999999,0.13,0.07,122.93,1650.7892,Processed,2021-12-04
218,218,218,218,6,250.88,1505.28,Credit Card,273.72,0.08,0.07,105.37,1490.2276000000002,Failed,2021-12-04
219,219,219,219,7,250.88,1756.16,Credit Card,319.3399999999999,0.28,0.07,122.93,1387.3652,Pending,2021-12-05
220,220,220,214,1,250.88,250.88,PayPal,45.620000000000005,0.19,0.07,17.56,220.7728,Failed,2021-12-07
221,221,221,220,3,250.88,752.64,Bank Transfer,136.86,0.24,0.07,52.68,624.6863999999999,Pending,2021-12-10
222,222,222,221,6,250.88,1505.28,PayPal,273.72,0.01,0.07,105.37,1595.5972000000002,Failed,2021-12-12
223,223,223,222,3,250.88,752.64,Credit Card,136.86,0.1,0.07,52.68,730.0559999999999,Pending,2021-12-12
224,224,224,223,7,250.88,1756.16,Credit Card,319.3399999999999,0.14,0.07,122.93,1633.2276,Pending,2021-12-14
225,225,225,224,9,250.88,2257.92,Credit Card,410.58000000000015,0.18,0.07,158.05,2009.5444,Processed,2021-12-16
226,226,226,225,3,250.88,752.64,Credit Card,136.86,0.06,0.07,52.68,760.1615999999999,Failed,2021-12-16
227,227,227,226,1,250.88,250.88,Debit Card,45.620000000000005,0.15,0.07,17.56,230.808,Processed,2021-12-23
228,228,228,227,6,250.88,1505.28,Debit Card,273.72,0.21,0.07,105.37,1294.5412,unknown,2021-12-24
229,229,229,228,1,250.88,250.88,Debit Card,45.620000000000005,0.1,0.07,17.56,243.352,Failed,2021-12-26
230,230,230,229,1,250.88,250.88,PayPal,45.620000000000005,0.21,0.07,17.56,215.7552,Processed,2021-12-29
231,231,231,230,8,250.88,2007.04,Bank Transfer,364.96,0.12,0.07,140.49,1906.6852,Pending,2021-12-31
